	BIGG	Name	CHEBI
0	crn__D	d-carnitine	CHEBI:11060
0	csn	cytosine	CHEBI:14066
0	cu2	copper	CHEBI:20882
0	cys__D	d-cysteine	CHEBI:12919
0	dcyt	deoxycytidine	CHEBI:15698
0	dgmp	dgmp c10h12n5o7p	CHEBI:10496
0	dtmp	dtmp c10h13n2o8p	CHEBI:10529
0	duri	deoxyuridine	CHEBI:11398
0	enter	enterochelin	CHEBI:23923
0	etoh	ethanol	CHEBI:14222
0	fald	formaldehyde	CHEBI:14274
0	fe3	iron (fe3+)	CHEBI:13320
0	fe3hox	fe(iii)hydroxamate	CHEBI:21131
0	fru	d-fructose	CHEBI:12923
0	frulys	fructoselysine	CHEBI:24109
0	g1p	d-glucose 1-phosphate	CHEBI:10246
0	g3ps	glycerophosphoserine	CHEBI:61931
0	galt	galactitol	CHEBI:14286
0	galur	d-galacturonate	CHEBI:18024
0	gam	d-glucosamine	CHEBI:12961
0	gbbtn	gamma-butyrobetaine	CHEBI:12047
0	gdp	gdp c10h12n5o11p2	CHEBI:13327
0	glc__D	d-glucose	CHEBI:12965
0	glcr	d-glucarate	CHEBI:12953
0	glcur	d-glucuronate	CHEBI:12975
0	gln__L	l-glutamine	CHEBI:13110
0	glu__L	l-glutamate	CHEBI:13107
0	glyald	d-glyceraldehyde	CHEBI:12982
0	glyc	glycerol	CHEBI:131422
0	gsn	guanosine	CHEBI:14375
0	gthox	oxidized glutathione	CHEBI:14328
0	gua	guanine	CHEBI:14371
0	idon__L	l-idonate	CHEBI:13126
0	ile__L	l-isoleucine	CHEBI:13127
0	isetac	isethionic acid	CHEBI:1157
0	k	potassium	CHEBI:26219
0	maltttr	maltotetraose	CHEBI:25145
0	met__D	d-methionine	CHEBI:13005
0	mg2	magnesium	CHEBI:13379
0	mincyc	minocycline	CHEBI:44053
0	minohp	myo-inositol hexakisphosphate	CHEBI:10603
0	mnl	d-mannitol	CHEBI:12996
0	mso3	methanesulfonate	CHEBI:25224
0	n2o	nitrous oxide	CHEBI:14661
0	no2	nitrite	CHEBI:14658
0	novbcn	novobiocin	CHEBI:25597
0	o2s	superoxide anion	CHEBI:15143
0	pppn	phenylpropanoate	CHEBI:20186
0	pro__L	l-proline	CHEBI:13154
0	ptrc	putrescine	CHEBI:14972
